"employee_id","employee","expiring_licenses","nearest_expiry"
365347884,"Levi Brooks","2","2025-10-10"
439611348,"Julian Adams","1","2025-10-10"
677740617,"Bennett Mitchell","1","2025-10-10"
256708207,"Santiago Green","1","2025-10-10"
379789390,"Nicholas Figueroa","1","2025-10-10"
508765791,"Christopher Edwards","1","2025-10-11"
371978007,"Alexander Sutton","2","2025-10-11"
880739043,"John Ruiz","1","2025-10-11"
620700276,"Luke Lam","1","2025-10-11"
625537532,"Carson Flores","1","2025-10-11"
610572170,"James Kelly","1","2025-10-11"
302394192,"Levi Rivera","1","2025-10-11"
565688192,"Jameson Chavez","1","2025-10-11"
435014509,"Leonardo Keller","1","2025-10-11"
473878717,"Leonardo Thomas","1","2025-10-11"
149114188,"Elias Wood","1","2025-10-11"
341629214,"Daniel Evans","2","2025-10-11"
125121524,"Joshua Price","2","2025-10-11"
748126373,"Ezekiel Davis","1","2025-10-11"
280489238,"Kody Foster","2","2025-10-11"
602883578,"Shane Richardson","2","2025-10-12"
167010925,"Julian Fischer","1","2025-10-12"
440851988,"Gabriel Evans","2","2025-10-12"
877233799,"Sebastian Schultz","1","2025-10-12"
389416100,"Waylon Ward","1","2025-10-12"
764078065,"Jacob Johnson","1","2025-10-12"
862004001,"Landon Castillo","1","2025-10-12"
928470102,"Mason Hill","1","2025-10-12"
172682789,"Kayden Patel","1","2025-10-12"
522931892,"Josiah Gonzalez","1","2025-10-12"
475420696,"Harlan Powell","1","2025-10-12"
983637278,"Wesley Gutierrez","1","2025-10-12"
389852540,"Kai Turner","1","2025-10-12"
473121910,"Wesley Baldwin","2","2025-10-12"
206856692,"Greyson Bennett","1","2025-10-12"
710429775,"Jaxon Roberts","1","2025-10-12"
979681477,"Elijah Berg","1","2025-10-12"
228642293,"David Scott","1","2025-10-13"
650074966,"Evan Gutierrez","1","2025-10-13"
954417080,"Evan Cook","1","2025-10-13"
414801150,"Mateo Reeves","2","2025-10-13"
722306969,"Lincoln Gutierrez","1","2025-10-13"
848451470,"Charles Wright","1","2025-10-14"
348136717,"James Garcia","1","2025-10-14"
126993782,"Hector Peterson","1","2025-10-14"
785172842,"Samuel Gonzalez","1","2025-10-14"
686979543,"Christopher Parker","1","2025-10-14"
388747902,"Elias Berg","1","2025-10-14"
664515516,"Aaron Cooper","2","2025-10-14"
401482830,"Declan Reeves","1","2025-10-14"
795238106,"Mason Morales","2","2025-10-14"
518161556,"Gael Hall","1","2025-10-14"
921669007,"Luke Schultz","1","2025-10-14"
186603758,"Nicholas Collins","1","2025-10-14"
290702909,"Samuel Cruz","1","2025-10-15"
686031119,"Tristan Miller","1","2025-10-15"
773650248,"Cooper Gray","1","2025-10-15"
845593231,"Jordan Figueroa","1","2025-10-15"
554766472,"Thomas Turner","1","2025-10-15"
342830382,"Michael Lewis","2","2025-10-15"
919788944,"Christopher Cruz","1","2025-10-15"
301332084,"Thomas Flores","1","2025-10-15"
245816493,"Henry Pena","2","2025-10-15"
871454908,"Max Hernandez","1","2025-10-15"
501199009,"Gael Fischer","1","2025-10-15"
928163536,"Jayden Ortiz","1","2025-10-15"
453353930,"Jonathan Serrano","1","2025-10-15"
582082894,"Evan Hill","1","2025-10-16"
905481874,"Emmett Williams","2","2025-10-16"
325496629,"Mason Jackson","1","2025-10-16"
704160277,"Malik Allen","1","2025-10-16"
818299306,"Leonardo Alvarez","1","2025-10-16"
956309946,"Wyatt Hernandez","1","2025-10-16"
918759092,"Miles Long","1","2025-10-16"
551536484,"Hunter Cox","2","2025-10-17"
362688360,"Lincoln Brooks","1","2025-10-17"
944612619,"Luca Ross","1","2025-10-17"
176382715,"Jaxson Wright","1","2025-10-17"
456363557,"Brooks Keller","2","2025-10-17"
622170724,"Miles Ramos","1","2025-10-17"
921650582,"John Perez","1","2025-10-17"
510947156,"Wesley Jimenez","1","2025-10-18"
918286201,"Miles Fischer","1","2025-10-18"
138272099,"Weston Diaz","1","2025-10-18"
125759218,"Jace Gray","1","2025-10-18"
986483703,"Weston Mitchell","1","2025-10-19"
770596525,"Leo Reed","1","2025-10-19"
274363571,"James Robinson","1","2025-10-19"
747483851,"Silas Torres","1","2025-10-19"
489008364,"Emmett Douglas","1","2025-10-19"
503089856,"Greyson Rodriguez","1","2025-10-20"
535146741,"Leo Campbell","1","2025-10-20"
174003382,"Victor Schultz","1","2025-10-20"
601226004,"Owen Collins","1","2025-10-20"
417654913,"Landon Mendoza","1","2025-10-20"
724404801,"Silas Fischer","1","2025-10-20"
397187046,"Dominic Smith","1","2025-10-20"
473586855,"Jonathan Rodriguez","1","2025-10-20"
284337277,"Austin Holmes","2","2025-10-20"
291914608,"Oliver Adams","1","2025-10-20"
258563624,"Logan Castillo","1","2025-10-21"
457762939,"Jackson Lam","1","2025-10-21"
387083471,"Omar Martin","1","2025-10-21"
894722672,"Gabriel Edwards","2","2025-10-21"
810187819,"Jonathan Diaz","1","2025-10-21"
414944072,"Beau Stephens","1","2025-10-22"
256092570,"Eli Gonzalez","1","2025-10-22"
345559175,"Santiago Sutton","1","2025-10-22"
589712137,"Mateo White","1","2025-10-22"
686978134,"Alexander Serrano","2","2025-10-22"
638739805,"Charles Spencer","1","2025-10-22"
488336362,"Jacob Lam","1","2025-10-22"
999794494,"Joseph Hughes","2","2025-10-22"
514494280,"Joseph Hamilton","2","2025-10-23"
813610287,"James Reyes","2","2025-10-23"
325011686,"Miles Ray","3","2025-10-23"
792209462,"Zane Gomez","1","2025-10-23"
704908245,"Rowan Murphy","2","2025-10-23"
934605625,"Daniel Clark","1","2025-10-24"
746782361,"Omar Young","1","2025-10-24"
436310619,"Isaac Ruiz","1","2025-10-24"
652743773,"Nathan Sanders","1","2025-10-24"
800022181,"Grayson Morgan","1","2025-10-24"
431745876,"Tristan Mitchell","1","2025-10-24"
860786995,"John Jackson","2","2025-10-24"
649020905,"Ezra Freeman","1","2025-10-24"
908002264,"Benjamin Williams","1","2025-10-24"
758409413,"Christopher Hill","2","2025-10-25"
528038587,"Charles Mendoza","2","2025-10-25"
635083666,"Josiah Wilson","1","2025-10-25"
550465312,"Ian Hall","1","2025-10-25"
434492855,"David Sutton","1","2025-10-25"
967922409,"Kai Reyes","1","2025-10-25"
108314677,"Cameron Cook","1","2025-10-25"
669707506,"Colton Thompson","3","2025-10-25"
843307098,"Carter Carter","2","2025-10-25"
297392095,"Jeremiah Flores","2","2025-10-26"
911833404,"Nathan Diaz","2","2025-10-26"
915581991,"David Cox","1","2025-10-26"
540391078,"Jeremiah Parker","2","2025-10-26"
555052880,"Carson Fischer","1","2025-10-26"
768409354,"Damian Parker","1","2025-10-26"
700553293,"Eli Perez","1","2025-10-26"
387484953,"Kai Williams","1","2025-10-26"
581502326,"Logan Graham","1","2025-10-26"
635149316,"Harlan Morgan","1","2025-10-26"
449440899,"Nicholas Alvarez","1","2025-10-27"
369311667,"Dylan Brown","2","2025-10-27"
754846739,"Jonathan Roberts","1","2025-10-27"
724062935,"Isaiah Ward","1","2025-10-27"
800541788,"Wesley Douglas","1","2025-10-27"
309519877,"Liam Martinez","1","2025-10-27"
556652278,"Wyatt Kim","1","2025-10-27"
685511748,"Logan Wright","2","2025-10-27"
585785975,"Theodore Ray","1","2025-10-28"
662028822,"Kai Kim","1","2025-10-28"
749706385,"Victor Taylor","2","2025-10-28"
353620943,"Leo Watson","1","2025-10-28"
334428775,"Maverick Martinez","1","2025-10-28"
230145176,"Austin Ramos","3","2025-10-28"
603642758,"Henry Schultz","1","2025-10-28"
551770388,"Kayden Watson","1","2025-10-28"
206061744,"Xavier Bailey","1","2025-10-28"
749221365,"Connor Lee","2","2025-10-28"
766318860,"Malik Bryant","1","2025-10-28"
880213874,"Santiago White","2","2025-10-28"
675904578,"Tristan Bailey","2","2025-10-28"
943746158,"Ian Johnson","2","2025-10-28"
719453040,"Isaiah Walker","1","2025-10-28"
247210555,"Grayson Roberts","2","2025-10-28"
686803026,"Nicholas Kelly","1","2025-10-28"
621267136,"Connor Ramirez","1","2025-10-28"
952602970,"Damian Clark","1","2025-10-28"
450456307,"Ezra Cruz","1","2025-10-29"
808155546,"Brayden Powell","1","2025-10-29"
368324661,"Leonardo Campbell","1","2025-10-29"
922534105,"Orion Herrera","1","2025-10-29"
330524956,"Ryder Alvarez","1","2025-10-29"
144834737,"Caleb Collins","1","2025-10-29"
536796126,"Cooper Cooper","1","2025-10-29"
226677775,"Charles Diaz","1","2025-10-29"
566269542,"Gabriel Martin","1","2025-10-30"
234832400,"Kai Davis","1","2025-10-30"
221241441,"Miles Gray","2","2025-10-30"
120208178,"Luke Flores","1","2025-10-30"
706927264,"Silas Keller","1","2025-10-30"
205033993,"Leo Weber","1","2025-10-30"
618844366,"Grayson Parker","2","2025-10-30"
814553835,"Waylon Bennett","1","2025-10-30"
162690979,"Robert Bennett","1","2025-10-30"
877250292,"Rowan Johnson","1","2025-10-30"
693737876,"Jayden Riley","1","2025-10-30"
706545282,"Christopher Riley","1","2025-10-30"
120531684,"Emmett Cooper","1","2025-10-30"
754593108,"Adrian Alvarez","1","2025-10-30"
652326941,"Owen Weber","1","2025-10-31"
715284907,"Jayden Ruiz","2","2025-10-31"
876184589,"Andrew Rogers","1","2025-10-31"
724469995,"Lucas Lee","1","2025-10-31"
696128280,"Luke Clark","1","2025-10-31"
781590747,"Jace Morales","1","2025-10-31"
321836717,"Jose Pena","1","2025-10-31"
624483443,"Asher Edwards","1","2025-11-01"
701154304,"Greyson Williams","1","2025-11-01"
287120544,"Hudson Walters","1","2025-11-01"
820402647,"Lincoln Cooper","1","2025-11-01"
548292905,"Robert Hall","1","2025-11-01"
203710054,"Nicholas Castillo","1","2025-11-01"
157863688,"Anthony Garcia","1","2025-11-01"
626443184,"Liam Stephens","1","2025-11-01"
848423304,"Joseph Schultz","1","2025-11-01"
508399990,"Beau Anderson","2","2025-11-02"
391433180,"Declan Wright","2","2025-11-02"
386583843,"Kai Cox","2","2025-11-02"
608166986,"Austin Bryant","2","2025-11-02"
711548259,"Nicholas Lewis","2","2025-11-02"
264889690,"Harlan Myers","1","2025-11-02"
871885910,"Leo Weber","1","2025-11-02"
844113509,"Julian Thomas","1","2025-11-02"
353058077,"Isaiah Gardner","3","2025-11-02"
207139192,"Shane Alvarez","1","2025-11-02"
868134442,"Hudson Flores","2","2025-11-02"
895445963,"Greyson White","1","2025-11-02"
368536164,"Hector Sanders","1","2025-11-03"
813389859,"Jonathan Davis","1","2025-11-03"
585045189,"Jackson Thomas","1","2025-11-03"
509833595,"Ian Howard","1","2025-11-03"
201367727,"Beau Cruz","2","2025-11-03"
614869426,"Omar Thompson","1","2025-11-03"
395187136,"Dominic Rivera","1","2025-11-03"
215171633,"Levi Cohen","2","2025-11-04"
387389680,"Axel Harris","2","2025-11-04"
720038465,"Tristan Ramirez","1","2025-11-04"
571422232,"Henry Miller","1","2025-11-04"
266650892,"Jameson Taylor","1","2025-11-04"
335869471,"Matthew Brooks","1","2025-11-04"
253732600,"Wyatt Gutierrez","3","2025-11-04"
368809735,"Jameson Murphy","1","2025-11-04"
145492466,"Jose Howard","1","2025-11-04"
825490417,"Lucas Herrera","2","2025-11-04"
106555256,"Dominic Morales","1","2025-11-04"
970881392,"Silas Nguyen","2","2025-11-04"
753608886,"Jace Kelly","1","2025-11-05"
968362428,"Nolan Figueroa","1","2025-11-05"
153660795,"Oliver Roberts","1","2025-11-05"
775393056,"Hudson Green","1","2025-11-05"
971477791,"Weston Reyes","2","2025-11-05"
824343187,"Hector Berg","1","2025-11-05"
130147362,"Oliver Wright","2","2025-11-05"
189329672,"John Cooper","1","2025-11-05"
457347793,"Ian White","1","2025-11-05"
830780048,"Evan Gardner","1","2025-11-05"
349590139,"Waylon Anderson","2","2025-11-05"
743342752,"David Smith","1","2025-11-06"
130770159,"Dylan Miller","1","2025-11-06"
579260629,"Leonardo Rivera","1","2025-11-06"
470110201,"Parker Moore","1","2025-11-06"
964789515,"Jaxon Schultz","1","2025-11-06"
333326163,"Greyson Martinez","1","2025-11-06"
105385924,"Aiden Ross","1","2025-11-06"
177129662,"Kai Cooper","2","2025-11-06"
567128835,"Andrew Bennett","1","2025-11-06"
765471399,"Leonardo Rogers","1","2025-11-06"
632078994,"Ryder Stephens","1","2025-11-06"
938656081,"Adrian Foster","2","2025-11-06"
318025291,"Jameson Collins","1","2025-11-07"
107044686,"Leonardo Thompson","2","2025-11-07"
616756387,"Tristan Green","1","2025-11-07"
472453874,"Alexander Smith","2","2025-11-07"
904992381,"Josiah Figueroa","1","2025-11-08"
503831613,"Micah Smith","1","2025-11-08"
704177819,"Shane Davis","1","2025-11-08"
287604558,"Nolan Adams","1","2025-11-08"
808705146,"Carter White","1","2025-11-08"
921777062,"Josiah Collins","1","2025-11-08"
608462049,"Peter Bailey","1","2025-11-08"
292927851,"Bennett Graham","2","2025-11-08"
739758930,"Santiago Watson","1","2025-11-08"
179919440,"Adrian Garcia","1","2025-11-08"
570134259,"Leonardo Bryant","1","2025-11-08"
393533916,"Isaac Freeman","2","2025-11-08"
452825344,"Luca Flores","2","2025-11-09"
642518805,"Hector Collins","1","2025-11-09"
128718803,"Dominic Lopez","1","2025-11-09"
341594433,"Rafael Riley","1","2025-11-09"
128522643,"Adrian Perez","1","2025-11-09"
462309039,"Carter Mendoza","1","2025-11-09"
473409853,"Parker Serrano","1","2025-11-09"
585999142,"Jayden Flores","1","2025-11-09"
694897542,"Isaac Taylor","1","2025-11-09"
833787965,"Nicholas Williams","1","2025-11-09"
469465020,"Rafael Riley","1","2025-11-09"
709218673,"Caleb Young","1","2025-11-09"
839522306,"Orion James","1","2025-11-09"
672902546,"Cooper Wilson","2","2025-11-09"
915428526,"Miles Patel","2","2025-11-09"
172569517,"Beau Ray","1","2025-11-10"
311068734,"Nathan Garcia","1","2025-11-10"
840997987,"Elias Rivera","3","2025-11-10"
436325831,"Elias Lopez","2","2025-11-10"
471040603,"Beau Lam","1","2025-11-10"
143577289,"Ethan Holmes","1","2025-11-10"
946015853,"Rafael Lee","2","2025-11-10"
854597018,"Caleb Ortiz","2","2025-11-10"
980842725,"Aiden Miller","1","2025-11-10"
209315145,"Liam Walters","1","2025-11-10"
570270122,"Everett Scott","1","2025-11-11"
535802291,"Anthony Davis","1","2025-11-11"
313363840,"Sebastian Stephens","1","2025-11-11"
120103840,"Max Peterson","1","2025-11-11"
993134915,"Gael Mitchell","1","2025-11-11"
419209311,"Joseph Ortiz","1","2025-11-11"
996108004,"Gabriel Wright","1","2025-11-11"
358450741,"Samuel Jimenez","2","2025-11-11"
430785961,"Adam Hernandez","1","2025-11-11"
938899209,"Liam Bailey","1","2025-11-11"
916700799,"Julian Roberts","1","2025-11-11"
927746298,"Nolan Anderson","2","2025-11-11"
444098170,"Jack Douglas","2","2025-11-11"
954831960,"Ezra Cohen","2","2025-11-11"
439947468,"Lucas Wood","1","2025-11-12"
661222095,"Gabriel Carter","1","2025-11-12"
800128720,"Damian Brown","2","2025-11-12"
956342186,"Shane Mitchell","1","2025-11-12"
485184835,"Waylon Green","1","2025-11-12"
843340516,"Rafael Bennett","2","2025-11-12"
553691026,"Liam Gomez","1","2025-11-13"
290005809,"Logan Morgan","2","2025-11-13"
770170450,"Rafael Edwards","1","2025-11-13"
575195986,"Kody Sanchez","1","2025-11-13"
795073839,"Easton Chavez","1","2025-11-13"
738769197,"Julian Walters","2","2025-11-13"
775456610,"Max Phillips","1","2025-11-13"
973770344,"Christian Reed","1","2025-11-13"
880734554,"Adrian Rogers","1","2025-11-13"
488178608,"Austin Williams","1","2025-11-14"
518921638,"Aiden Cruz","1","2025-11-14"
355038333,"Ezekiel Morgan","1","2025-11-14"
943648412,"Elijah King","1","2025-11-14"
495209034,"Joshua Ward","1","2025-11-14"
793249088,"Mason Adams","1","2025-11-14"
745395484,"Ethan Jimenez","1","2025-11-14"
487504103,"Jackson Taylor","1","2025-11-14"
105286306,"Jonathan Cruz","1","2025-11-14"
905009672,"Ethan Gomez","1","2025-11-15"
747892794,"Daniel Roberts","1","2025-11-15"
710675883,"Max Reeves","1","2025-11-15"
640827620,"Brayden Weber","3","2025-11-15"
593558253,"Max Ortiz","1","2025-11-15"
922461762,"Roman Sanchez","1","2025-11-15"
250410815,"Rafael Peterson","1","2025-11-15"
687918596,"Harlan Rodriguez","1","2025-11-15"
982972682,"Nicholas Holmes","1","2025-11-15"
105013658,"Weston Kim","1","2025-11-16"
749131752,"Axel Price","1","2025-11-16"
819647383,"Charles Brooks","1","2025-11-16"
129702138,"Henry Kim","1","2025-11-16"
475871270,"Peter Thompson","1","2025-11-16"
124056043,"Parker Richardson","3","2025-11-16"
408386817,"Gabriel Brown","2","2025-11-16"
784310831,"Santiago Rogers","1","2025-11-16"
555843552,"Nolan Rodriguez","3","2025-11-16"
427234686,"Joseph Nguyen","1","2025-11-16"
909827620,"Carter Stewart","1","2025-11-17"
692359820,"Caleb Nguyen","1","2025-11-17"
821078392,"Rafael Smith","1","2025-11-17"
274759288,"James Jones","1","2025-11-17"
974325673,"Jameson Watson","1","2025-11-17"
924247458,"Cooper Roberts","1","2025-11-17"
236467806,"Elijah Harris","1","2025-11-17"
470471888,"Beau Walters","1","2025-11-17"
223174892,"Elias Herrera","3","2025-11-17"
199363091,"Asher Martinez","1","2025-11-17"
424862161,"Ian Nelson","1","2025-11-17"
778862835,"Hector Evans","1","2025-11-17"
613210542,"Levi Holmes","1","2025-11-17"
268040295,"Omar Thompson","1","2025-11-18"
125256867,"Jameson Brown","1","2025-11-18"
979223885,"Orion Campbell","1","2025-11-18"
126805114,"Elias Nolan","1","2025-11-18"
187351883,"Finn Nguyen","1","2025-11-18"
193585631,"Landon Foster","1","2025-11-18"
288478561,"Zane Gonzalez","1","2025-11-18"
597180007,"Adam Scott","1","2025-11-18"
501710101,"Lucas Foster","1","2025-11-18"
417505024,"Thomas Robinson","1","2025-11-18"
766082516,"Josiah Murphy","2","2025-11-18"
973412463,"Oliver Nelson","2","2025-11-18"
309812190,"Rafael Holmes","1","2025-11-18"
875875719,"Benjamin Price","1","2025-11-19"
945110952,"Nolan Lam","2","2025-11-19"
317760773,"Charles Brooks","1","2025-11-19"
549275799,"Caleb Cooper","1","2025-11-19"
335505512,"Zane Martinez","2","2025-11-19"
518337063,"Charles Parker","1","2025-11-19"
455868862,"William Bryant","2","2025-11-19"
505882290,"Gabriel Jimenez","1","2025-11-19"
119352166,"Jackson Myers","1","2025-11-20"
716249372,"Victor Castillo","1","2025-11-20"
760685963,"Gael Cox","2","2025-11-20"
747832710,"Landon Anderson","2","2025-11-20"
481908102,"Nolan Peterson","1","2025-11-20"
162632991,"Finn Walker","1","2025-11-20"
502217340,"Santiago Campbell","1","2025-11-21"
344080302,"Joseph Hamilton","2","2025-11-21"
781894665,"Carter Murphy","2","2025-11-21"
